strong	lemma	description_en	description_ja
39	ἅγιος|G40	233   ἅγιος, -α, ον      (< τό ἅγός, religious awe; ἅζω, to venerate),    [in LXX chiefly for קֹ֫דֶשׁ;]    primarily, dedicated to the gods, sacred (Hdt.; rare in Att., never in Hom., Hes. and Trag., who use ἁγνός), hence, holy, characteristic of God, separated to God, worthy of veneration.     Its highest application is to God himself, in his purity, majesty, and glory: Lk 1:49, Jo 17:11, Re 4:8. Hence       of things and places which have a claim to reverence as sacred to God, e.g. the Temple: Mt 24:15, He 9:1;        of persons employed by him, as angels: I Th 3:13; prophets, Lk 1:70; apostles, Eph 3:5.           Applied to persons as separated to God's service:      of Christ, Mk 1:24, Jo 6:69, Ac 4:30;        of Christians, Ac 9:13, Ro 1:7, He 6:10, Re 5:8.           In the moral sense of sharing God's purity: Mk 6:20, Jo 17:11, Ac 3:14, Re 3:7.     Of pure, clean sacrifices and offerings: I Co 7:14, Eph 1:4.       SYN.: ἁγνός, pure, both in ceremonial and spiritual sense; ἱερός (sacer), sacred, that which is inviolable because of its (external) relation to God; ὅσιος (sanctus as opp. to nefas), that which is based on everlasting ordinances of right. (Cf. Tr., Syn., §lxxxviii; DB, ii, 399 f.; Cremer, 34, 594-601; MM, VGT, s.v.)	【語義】聖い、聖なる。【語源】τό ἅγός（宗教的畏敬）、ἅζω（崇拝する）から。【七十人訳】主に קֹ֫דֶשׁ の訳語。【基本義】本来「神々に奉献された、聖なる」（ヘロドトス；アッティカ語では稀、ホメロス・ヘシオドス・悲劇では用いられず ἁγνός が使われる）。転じて「神に特有の、神に区別された、崇拝に値する」を意味する。【用法】①神ご自身の清さ・威厳・栄光（ルカ 1:49、ヨハ 17:11、黙 4:8）；②神聖なものとして主張できる物・場所：神殿など（マタ 24:15、ヘブ 9:1）；神に用いられる者：御使い（Ⅰテサ 3:13）、預言者（ルカ 1:70）、使徒（エペ 3:5）；③神への奉仕のために区別された者：キリスト（マコ 1:24、ヨハ 6:69、使 4:30）；クリスチャン（使 9:13、ロマ 1:7、ヘブ 6:10、黙 5:8）；④神のきよさにあずかるという道徳的意味（マコ 6:20、ヨハ 17:11、使 3:14、黙 3:7）；⑤清い供え物（Ⅰコリ 7:14、エペ 1:4）。【類義語】ἁγνός（儀礼的・霊的両方の意味でのきよさ）；ἱερός（sacer、神との外的関係によって侵すべからざるもの）；ὅσιος（sanctus、永遠の正義の法則に基づくもの）。
41	ἁγιότης	1   **† ἁγιότης, -ητος, ἡ     (< ἅγιος),   [in LXX: II Mac 15:2*;]    sanctity, holiness, regarded, properly, as an abstract quality (v. next word, and cf. Lft. Notes, 49; MM, VGT, s.v.): II Co 1:12, He 12:10.†	【語義】聖性、神聖さ（抽象的な質として）。【語源】ἅγιος から。【七十人訳】Ⅱマカ 15:2。【新約用例】Ⅱコリ 1:12、ヘブ 12:10。
42	ἁγιωσύνη	3   † ἁγιωσύνη (cf. ἀγαθωσύνη), -ης, ἡ    (< ἅγιος),   [in LXX: Ps 29 (30):4 96 (97):12 (קֹדֶשׁ), 95 (96):6 (עֹז), 144 (145):5 (הוֹד), II Mac 3:12*;]    holiness, the state in man resulting from ἁγιασμός, q.v.: Ro 1:4, II Co 7:1, I Th 3:13 (Cremer, 52; MM, VGT, s.v.).†	【語義】聖さ。ἁγιασμός（参照）の結果としての人における状態。【語源】ἅγιος から（cf. ἀγαθωσύνη）。【七十人訳】詩 29:4、96:12（קֹדֶשׁ）、95:6（עֹז）、144:5（הוֹד）、Ⅱマカ 3:12。【新約用例】ロマ 1:4、Ⅱコリ 7:1、Ⅰテサ 3:13。
43	ἀγκάλη	1   ἀγκάλη, -ης, ἡ    (< ἄγκος, a bend),   [in LXX for אַצִּיל, חֵיק;]    the bent arm: Lk 2:28 (cf. ἐναγκαλίζομαι).†	【語義】曲げた腕、腕の中。【語源】ἄγκος（曲がり）から。【七十人訳】אַצִּיל、חֵיק の訳語。【新約用例】ルカ 2:28（ἐναγκαλίζομαι 参照）。
44	ἄγκιστρον	1   ἄγκιστρον, -ου, τό     (< ἄγκος, a bend),    [in LXX חַכָּה, etc.;]    a fish-hook: Mt 17:27.†	【語義】釣り針。【語源】ἄγκος（曲がり）から。【七十人訳】חַכָּה など。【新約用例】マタ 17:27。
45	ἄγκυρα	4   ** ἄγκυρα, -ας, ἡ (< ἄγκος, a bend), [in Sm.: Je 52:18*;]   an anchor: Ac 27:29, 30 40; fig. (MM, VGT, s.v.), He 6:19.†	【語義】錨。【語源】ἄγκος（曲がり）から。【七十人訳（シュマコス訳）】エレ 52:18。【新約用例】使 27:29、30、40；比喩的に（ヘブ 6:19）。
46	ἄγναφος	2   *† ἄγναφος, -ον (= ἄγναπτος, < γνάπτω, late form of κνάπτω, to card wool),   uncarded, undressed, i.e. new (MM, VGT, s.v.): Mt 9:16, Mk 2:21.†	【語義】未さらしの、加工されていない、すなわち新しい（布地）。【語源】γνάπτω（κνάπτω の後期形、羊毛を梳く）に否定の ἀ- がついた形（ἄγναπτος と同義）。【新約用例】マタ 9:16、マコ 2:21。
47	ἁγνεία	2   ἁγνεία (WH, ἁγνία),     [in LXX for טָהֳרָה, נָזִיר, נֶזֶר, etc.;]    purity: I Ti 4:12, 5:2 (Cremer, 58. For exx. of ceremonial use in π., v. MM, Exp., iv).†	【語義】純潔、清さ。【七十人訳】טָהֳרָה、נָזִיר、נֶזֶר などの訳語。【新約用例】Ⅰテモ 4:12、5:2。
48	ἁγνίζω	7   ἁγνίζω (> ἁγνός),    [in LXX always ceremonially, chiefly for קדשׁ;]         to purify, cleanse from defilement;     ceremonially: Jo 11:55, Ac 21:24, 26 24:18;      morally: Ja 4:8, I Pe 1:22, I Jo 3:3.†      SYN.: καθαρίζω, q.v. (and v.s. ἁγνός).	【語義】きよめる、汚れから清める。【語源】ἁγνός から。【七十人訳】常に儀礼的な意味で、主に קדשׁ の訳語。【用法】①儀礼的に：ヨハ 11:55、使 21:24、26、24:18；②道徳的に：ヤコ 4:8、Ⅰペテ 1:22、Ⅰヨハ 3:3。【類義語】καθαρίζω（参照）。
49	ἁγνισμός	1   † ἁγνισμός, -οῦ, ὁ (> ἁγνίζω),    [in LXX: Nu 6:5 (נֵזֶר) 8:7 19:17 (חַטּאת), etc.;]    purification: in ceremonial sense, Ac 21:26(LXX).†	【語義】きよめ（儀礼的）。【語源】ἁγνίζω から。【七十人訳】民 6:5（נֵזֶר）、8:7、19:17（חַטּאת）など。【新約用例】使 21:26（LXX）。
50	ἀγνοέω	22   ἀγνοέω, -ῶ (> ἁγνίζω),    [in LXX for שׁגה, שׁגג, אשׁם, etc.;]         to be ignorant, not to know: absol., I Ti 1:13, He 5:2; c. acc., Ac 13:27 17:23, Ro 10:3, II Co 2:11; ἐν οἷς, II Pe 2:12; seq. ὅτι, Ro 2:4  6:3 7:1, I Co 14:38; οὐ θέλω ὑμᾶς ἀγνοεῖν, a Pauline phrase: c. acc., Ro 11:25; seq. ὑπέρ, II Co 1:8; περί, I Co 12:1, I Th 4:13. ὅτι, Ro 1:13, I Co 10:1 (for similar usage in π., V. MM, VGT, s.v.). Pass.: I Co 14:38, II Co 6:9, Ga 1:22.     not to understand: c. acc., Mk 9:32, Lk 9:45.†	【語義】知らない、無知である。【七十人訳】שׁגה、שׁגג、אשׁם などの訳語。【用法】①知らない：絶対的に（Ⅰテモ 1:13、ヘブ 5:2）；目的語として（使 13:27、17:23、ロマ 10:3、Ⅱコリ 2:11）；ἐν οἷς（Ⅱペテ 2:12）；ὅτι に続く（ロマ 2:4、6:3、7:1、Ⅰコリ 14:38）；パウロの定型句「知らずにいてほしくない」：目的語として（ロマ 11:25）；ὑπέρ（Ⅱコリ 1:8）；περί（Ⅰコリ 12:1、Ⅰテサ 4:13）；ὅτι（ロマ 1:13、Ⅰコリ 10:1）。受動態：Ⅰコリ 14:38、Ⅱコリ 6:9、ガラ 1:22。②理解しない：マコ 9:32、ルカ 9:45。
51	ἀγνόημα	1   † ἀγνόημα, -τός, τό     (< ἀγνοέω),   [in LXX: Ge 43:12 (מִשְׁגֶּה), To 3:3, Jth 5:20, Si 23:2  51:19, I Mac 13:39*;]    a sin of ignorance (so in π.; v. MM, VGT, s.v.): He 9:7.†	【語義】無知による罪、過って犯した罪。【語源】ἀγνοέω から。【七十人訳】創 43:12（מִשְׁגֶּה）、トビ 3:3、ユデ 5:20、シラ 23:2、51:19、Ⅰマカ 13:39。【新約用例】ヘブ 9:7。
52	ἄγνοια	4   ἄγνοια, -ας, ἡ     (< ἀγνοέω),   [in LXX chiefly for אָשָׁם, שְׁגָגָה;]    ignorance : Ac 3:17  17:30, Eph 4:18 (with sense of wilful blindness; cf. MM, VGT, s.v.), I Pe 1:14.†	【語義】無知、知らないこと。【語源】ἀγνοέω から。【七十人訳】主に אָשָׁם、שְׁגָגָה の訳語。【新約用例】使 3:17、17:30；エペ 4:18（意図的な無知の含意）；Ⅰペテ 1:14。
53	ἁγνός	10   ἁγνός, -ή, -όν    (< ἅγος, v.s. ἅγιος),   [in LXX chiefly for טָהוֹר (Pss, and Pr. only), also II Mac 13:8, IV Mac 18:7, al.;]         free from ceremonial defilement , in a condition prepared for worship (for exx. of pagan usage, V. MM, VGT, s.v.).      holy, sacred, venerable (II Mac 13:8).     As in OT (cl.), pure, chaste, undefiled, guiltless;       of persons: II Co 7:11  11:12, I Ti 5:22, Tit 2:5, I Jo 3:3;        of things: Phl 4:8, Ja 3:17, I Pe 3:2.†            SYN.: εἰλικρινής (q.v.), pure, primarily as winnowed, purged, first found in ethical sense in NT (sincere). On the equivalence of ἁ. and καθαρός (q.v.), v. DCG, ii, 459a though Westc. (Epp. Jo., 101) notes a distinction between them.	【語義】①儀礼的な汚れのない、礼拝にふさわしい状態の；②聖い、崇拝に値する（Ⅱマカ 13:8）；③きよい、貞潔な、汚れのない、罪のない。【語源】ἅγος から（ἅγιος の項参照）。【七十人訳】主に טָהוֹר の訳語（詩篇・箴言のみ）；Ⅱマカ 13:8、Ⅳマカ 18:7 など。【新約用例】①人について：Ⅱコリ 7:11、11:12、Ⅰテモ 5:22、テト 2:5、Ⅰヨハ 3:3；②物について：ピリ 4:8、ヤコ 3:17、Ⅰペテ 3:2。【類義語】εἰλικρινής（きよい、本来は風でふるい分けられた意；倫理的意味は新約で初登場、「誠実な」）。
54	ἁγνότης	2   ἁγνότης, -τητος, ἡ     (< ἁγνός),    purity, chastity (cf. ἁγιότης): II Co 6:6 11:3.†	【語義】純潔、貞潔（ἁγιότης 参照）。【語源】ἁγνός から。【新約用例】Ⅱコリ 6:6、11:3。
55	ἁγνῶς	1   * ἁγνῶς    (< ἁγνός),    adv.,   purely, with pure motives: Phl 1:17.†	【語義】純粋に、純粋な動機から（副詞）。【語源】ἁγνός から。【新約用例】ピリ 1:17。
56	ἀγνωσία	2   ἀγνωσία, -ας, ἡ     (< γινώσκω),   [in LXX: Jb 35:16 (בְּלִי־דַּעַת), Wi 13:1, III Mac 5:27*;]    ignorance  (opp. to γνῶσις): I Co 15:34, I Pe 2:15 (v. Hort in l.; MM, VGT, s.v.).†	【語義】無知（γνῶσις の対義語）。【語源】γινώσκω に否定の ἀ- がついた形。【七十人訳】ヨブ 35:16（בְּלִי־דַּעַת）、知恵 13:1、Ⅲマカ 5:27。【新約用例】Ⅰコリ 15:34、Ⅰペテ 2:15。
57	ἄγνωστος	1   ** ἄγνωστος, -ον     (< γινώσκω),   [in LXX: Wi 11:18 18:3, II Mac 1:19 2:7 (Cremer, 157)*;]    unknown: Ac 17:23 (cf. MM, VGT, s.v.).†	【語義】知られていない、未知の。【語源】γινώσκω に否定の ἀ- がついた形。【七十人訳】知恵 11:18、18:3、Ⅱマカ 1:19、2:7。【新約用例】使 17:23。
58	ἀγορά	11   ἀγορά, -ας, ἡ (< ἀγείρω, to bring together)    [in LXX for עִזָּבוֹן, שׁוּק;]      an assembly (Hom., Xen., al.).     a place of assembly, a public place or forum, a market-place (Hom., Thuc, al.; LXX): Mt 11:16  20:2 23:7, Mk 6:56 (cf . MM, VGT, s.v., ἀγυιά) 7:4 (Bl., §46, 7) 12:38, Lk 7:32 (Bl., §46, 7) 11:43 20:46, Ac 16:19  17:7 (Cremer, 59; MM, VGT, s.v.).†	【語義】広場、公共の場、市場。【語源】ἀγείρω（集める）から。【七十人訳】עִזָּבוֹן、שׁוּק の訳語。【用法】①集会（ホメロス、クセノポン）；②集会の場、公共の広場、市場：マタ 11:16、20:2、23:7、マコ 6:56、7:4、12:38、ルカ 7:32、11:43、20:46、使 16:19、17:7。
59	ἀγοράζω	30   ἀγοράζω     (< ἀγορά),   [in LXX chiefly for שׁבר, קנה;]         to frequent the ἀγορά (Hdt., al.).     to buy in the market, purchase (Xen., al.; LXX; in π. very common in deeds of sale, v. MM, VGT, s.v.): absol., Mt 21:12, Mk 11:15; c. acc. rei, Mt 13:44, 46, al.; seq. παρά, c. gen. pers., Re 3:18 (LXX, Polyb.); ἐκ, Mt 27:7; c. gen. pret., Mk 6:37, al.; metaph., I Co 6:20  7:23, II Pe 2:1, Re 5:9  14:3, 4.	【語義】市場で買う、購入する。【語源】ἀγορά から。【七十人訳】主に שׁבר、קנה の訳語。【用法】①絶対的に：マタ 21:12、マコ 11:15；②物を目的語として：マタ 13:44、46 など；③παρά+属格（黙 3:18）；ἐκ（マタ 27:7）；属格（価格）（マコ 6:37 など）；比喩的に：Ⅰコリ 6:20、7:23、Ⅱペテ 2:1、黙 5:9、14:3、4。
60	ἀγοραῖος	2   * ἀγοραῖος, -ον    (< ἀγορά),         frequenting the ἀγορά, a lounger in the ἀγορά (Xen., al.): Ac 17:5.      In late writers (Strab., al.), proper to the ἀγορά: ἀγοραῖοι (sc. ἥμεραι) ἀγονται (cf. Lat. conventus agere), court-days are kept, Ac 19:38 (for exx. of both usages, v. MM, VGT, s.v.).†	【語義】①広場をぶらつく者（クセノポン）：使 17:5；②後期文献では「広場にふさわしい」の意：ἀγοραῖοι（sc. ἥμεραι）ἄγονται「開廷日が設けられる」（cf. Lat. conventus agere）：使 19:38。【語源】ἀγορά から。
61	ἄγρα	2   * ἄγρα, -ας, ἡ    (< ἄγω),         the chase, a hunting or catching: Lk 5:4.     that which is taken, a catch: of fish, Lk 5:9.†	【語義】①狩猟、捕獲：ルカ 5:4；②獲物、漁獲：ルカ 5:9。【語源】ἄγω から。
62	ἀγράμματος	1  ἀγράμματος, ὂν (< γράφω),  without learning (γράμματα), un-lettered (in π. freq. in formula used by one who signs for an illiterate; MM, VGT, s.v.): Ac 4:13 (but cf. Thayer, s.v.).†	【語義】学がない（γράμματα がない）、無学の。【語源】γράφω に否定の ἀ- がついた形。【新約用例】使 4:13。
63	ἀγραυλέω	1   * ἀγραυλέω, -ῶ     (< ἀγραυλος, dwelling in the field; < ἀγρός, αὐλή),    to live in the fields: Lk 2:8.†	【語義】野外で生活する、野宿する。【語源】ἀγραυλος（野に住む；ἀγρός+αὐλή）から。【新約用例】ルカ 2:8。
64	ἀγρεύω	1   † ἀγρεύω (ἄγρα),    [in LXX: Jb 10:16, Pr 5:22  6:25, 26, Ho 5:2 (לקח ni., שׁחט, etc.)*;]    to catch or take by hunting or fishing; metaph., Mk 12:13.†	【語義】狩猟や漁によって捕らえる；比喩的に：マコ 12:13。【語源】ἄγρα から。【七十人訳】ヨブ 10:16、箴 5:22、6:25、26、ホセ 5:2。
65	ἀγριέλαιος	2   * ἀγρι-έλαιος, -ον        of the wild olive (Anth.).      As subst., the wild olive: Ro 11:17, 24 (CGT, in l.; MM, VGT, s.v.).†	【語義】野生のオリーブの。名詞として：野生のオリーブの木。【語源】ἄγριος+ἐλαία。【新約用例】ロマ 11:17、24。
66	ἄγριος	3   ἄγριος, -α, -ον     (< ἀγρός),   [in LXX for שָׂדֶה, etc.;]         living in fields, wild: μέλι. Mt 3:4, Mk 1:6.      savage, fierce: Ju 13. (Cf. usage in π. of a malignant wound; MM, VGT, s.v.).†	【語義】①野生の、野に生きる；②荒々しい、獰猛な。【語源】ἀγρός から。【七十人訳】שָׂדֶה などの訳語。【新約用例】①野生の蜜（マタ 3:4、マコ 1:6）；②獰猛な（ユダ 13）。
67	Ἀγρίππας	11   Ἀγρίππας, -α (Bl., §7, 2), ὁ,    Agrippa (II):  Ac 25:13, 22, 23, 24, 26 26:1, 2, 19, 27, 28, 32. (For Agrippa I, v.s. Ἡρῴδης, 3.) †	【語義】アグリッパ（Ⅱ世）。-α、ὁ。【新約用例】使 25:13、22、23、24、26、26:1、2、19、27、28、32。（アグリッパⅠ世については ἩΗρῴδης 3 の項参照。）
68	ἀγρός	37   ἀγρός, -οῦ, ὁ,     [in LXX chiefly for שָׂדֶה];         a field: Mt 6:28, al.      the country: Mk 15:21, al.; pl., country places, farms: Mk 5:14 6:36 56, Lk 8:34  9:12.      = χωρίον a piece of ground: Mk 10:29, Ac 4:27, al. (On the occurrence of this word as compared with χώρα, χωρίον v. MM, VGT, s.v.).	【語義】①畑、田地；②田舎；③土地の一区画（χωρίον と同義）。【七十人訳】主に שָׂדֶה の訳語。【新約用例】①畑：マタ 6:28 など；②田舎：マコ 15:21 など；複数形、農村、農場：マコ 5:14、6:36、56、ルカ 8:34、9:12；③一区画の土地：マコ 10:29、使 4:27 など。
